query,overlap,tf_top_urls,fuzzy_top_urls
techfix,1,guides-cameras/шаблоооон.html | index.html | gaids/Podklyucheniye LED paneli k elektroseti skhema i bezopasnost.html | gaids/Ustanovka LED-paneli s pomoshch'yu trosov (podvesnoy variant).html | gaids/Kak zakrepit' LED-panel' na stene.html | laptops.html | gaids/Kak-utilizirovat-staryj-televizor.html | gaids/Kak-ustranit-effekt-mertvyh-pikselej-na-LED-paneli.html | gaids/Pochemu-LED-panel-treschit-pri-rabote.html | gaids/Kak-ustranit-zasvety-po-krayam-LED-paneli.html,"laptops.html | gaids/Potsarapali ekran pri neakkuratnoy ochistke (zhostkoy tkan'yu ili khimiyey).html | smartphones.html | consoles.html | gaids/Virusy v Smart TV (naprimer, iz-za komponentov prilozheniy).html | gaids/Uronili televizor pri perenoske ili ustanovke.html | gaids/Zavisaniye sistem (Android TV, Tizen, WebOS i dr.).html | tv.html | gaids/Remont T-Con platy.html | cameras.html"
советы фотоаппараты,0,guides-cameras/шаблоооон.html | guides-cameras/street-photo.html | guides-cameras/hdr.html | gaids/Vliyanie-LED-paneley-na-interer-sovety-dizaynerov.html | guides-large-appliances/remove-plastic-object-from-dishwasher-drum.html | guides-smartphones/best-health-monitoring-apps.html | guides-cameras/hdr-processing.html | gaids/Mozhno li podklyuchat' LED-panel' cherez dimmer.html | gaids/Kak nastroit' roditel'skiy kontrol'.html | guides-smartphones/phone-thermal-camera.html,cameras.html | guides-cameras/Kak snimat' zvezdy na fotoapparat.html | guides-cameras/Kak zamenit' displey fotoapparata.html | guides-cameras/Kak snimat' sport na fotoapparat.html | guides-cameras/Kak snimat timelaps na fotoapparat.html | guides-cameras/Kak snimat' portrety s boke na fotoapparat.html | guides-cameras/Pochemu fotoapparat ne snimaet v RAW.html | guides-cameras/brands.html | guides-cameras/Kak zamenit displey fotoapparata.html | guides-cameras/Pochemu fotoapparat peregrevayetsya.html
советы техника,1,guides-cameras/шаблоооон.html | guides-cameras/street-photo.html | guides-cameras/hdr.html | gaids/Vliyanie-LED-paneley-na-interer-sovety-dizaynerov.html | index.html | guides-large-appliances/remove-plastic-object-from-dishwasher-drum.html | guides-smartphones/best-health-monitoring-apps.html | guides-cameras/hdr-processing.html | guides-large-appliances/heater-element-cleaning-troubleshooting.html | gaids/Mozhno li podklyuchat' LED-panel' cherez dimmer.html,articles.html | guides-cameras/macro-guide.html | guides-large-appliances/air-conditioner-power-consumption-check-methods.html | guides-large-appliances/appliance-sensor-compatibility-check-methods.html | guides-large-appliances/water-heater-leaking-from-bottom.html | guides-cameras/hdr-processing.html | guides-large-appliances/range-hood-light-flicker-issue.html | small-appliances.html | gaids/Zamena podsvetki (LED ili Edge-lit).html | large-appliances.html
советы главная,0,guides-cameras/street-photo.html | guides-cameras/hdr.html | gaids/Vliyanie-LED-paneley-na-interer-sovety-dizaynerov.html | guides-cameras/шаблоооон.html | guides-smartphones/best-health-monitoring-apps.html | guides-large-appliances/remove-plastic-object-from-dishwasher-drum.html | gaids/Mozhno li podklyuchat' LED-panel' cherez dimmer.html | gaids/Kak nastroit' roditel'skiy kontrol'.html | guides-smartphones/phone-thermal-camera.html | gaids/Kak-ustranit-effekt-mertvyh-pikselej-na-LED-paneli.html,"guides-auto-electronics/ecall-troubleshooting.html | guides-auto-electronics/ota-update-setup.html | guides-auto-electronics/parking-sensor-error-reset.html | guides-auto-electronics/parking-assist-modes.html | guides-large-appliances/appliance-sensor-compatibility-check-methods.html | guides-auto-electronics/pedal-lighting-settings.html | guides-auto-electronics/door-sill-lighting-settings.html | gaids/Proyektory dlya biznesa (konferents-zaly, vystavki).html | guides-large-appliances/refrigerant-pressure-check-without-manometer.html | guides-auto-electronics/auto-door-closer-issues.html"
смартфоны контакты,2,guides-cameras/шаблоооон.html | guides-smartphones/restore-deleted-contacts.html | guides-smartphones/charging-port-contacts-repair.html | index.html | guides-smartphones/transparent-display-phones.html | guides-smartphones/5g-phones-2025.html | guides-auto-electronics/sensor-contacts-cleaning.html | gaids/Pochemu-LED-panel-migaet-pri-vklyuchenii.html | gaids/Podklyucheniye LED paneli k elektroseti skhema i bezopasnost.html | guides-smartphones/holographic-display-phones.html,guides-smartphones/phone-metal-detector.html | guides-smartphones/phone-drone-remote.html | guides-smartphones/phone-gps-tracker.html | guides-smartphones/restore-deleted-contacts.html | smartphones.html | guides-smartphones/5g-phones-2025.html | guides-smartphones/phone-as-server.html | guides-smartphones/modular-camera-phones.html | guides-smartphones/eco-phones-2025.html | guides-smartphones/phone-as-monitor.html
смартфоны фотоаппараты,0,guides-cameras/шаблоооон.html | index.html | guides-smartphones/transparent-display-phones.html | guides-smartphones/5g-phones-2025.html | gaids/Podklyucheniye LED paneli k elektroseti skhema i bezopasnost.html | guides-smartphones/holographic-display-phones.html | gaids/Ustanovka LED-paneli s pomoshch'yu trosov (podvesnoy variant).html | gaids/Kak zakrepit' LED-panel' na stene.html | guides-smartphones/ai-chips-future.html | guides-smartphones/best-budget-phones-2025.html,cameras.html | guides-cameras/Kak snimat' sport na fotoapparat.html | guides-cameras/Kak snimat timelaps na fotoapparat.html | guides-cameras/Kak snimat' zvezdy na fotoapparat.html | guides-cameras/Kak snimat cherez mikroskop na fotoapparat.html | guides-cameras/Kak snimat' portrety s boke na fotoapparat.html | guides-smartphones/phone-metal-detector.html | guides-cameras/Kak pravilno khranit fotoapparat.html | guides-cameras/Kak vybrat' shtativ pod fotoapparat.html | guides-cameras/Kak snimat 360 panoramy na fotoapparat.html
смартфоны техника,2,guides-cameras/шаблоооон.html | index.html | guides-smartphones/transparent-display-phones.html | guides-smartphones/5g-phones-2025.html | gaids/Podklyucheniye LED paneli k elektroseti skhema i bezopasnost.html | guides-smartphones/holographic-display-phones.html | guides-smartphones/ai-chips-future.html | gaids/Ustanovka LED-paneli s pomoshch'yu trosov (podvesnoy variant).html | gaids/Kak zakrepit' LED-panel' na stene.html | guides-smartphones/eco-phones-2025.html,smartphones.html | guides-smartphones/phone-metal-detector.html | guides-smartphones/modular-camera-phones.html | small-appliances.html | large-appliances.html | guides-smartphones/eco-phones-2025.html | guides-cameras/macro-guide.html | auto-electronics.html | guides-large-appliances/refrigerator-door-seal-alternative-options.html | guides-smartphones/5g-phones-2025.html
смартфоны главная,4,guides-cameras/шаблоооон.html | guides-smartphones/transparent-display-phones.html | guides-smartphones/5g-phones-2025.html | index.html | gaids/Podklyucheniye LED paneli k elektroseti skhema i bezopasnost.html | guides-smartphones/holographic-display-phones.html | guides-smartphones/ai-chips-future.html | gaids/Ustanovka LED-paneli s pomoshch'yu trosov (podvesnoy variant).html | gaids/Kak zakrepit' LED-panel' na stene.html | guides-smartphones/eco-phones-2025.html,smartphones.html | guides-smartphones/5g-phones-2025.html | guides-smartphones/rare-smartphones-world.html | guides-large-appliances/electronic-board-alternative-compatibility-guide.html | guides-smartphones/physical-keyboard-phones.html | guides-smartphones/holographic-display-phones.html | guides-smartphones/eco-phones-2025.html | guides-auto-electronics/start-stop-check.html | guides-smartphones/ai-chips-future.html | guides-smartphones/phone-drone-remote.html
смартфоны ноутбуки,3,guides-cameras/шаблоооон.html | index.html | guides-smartphones/transparent-display-phones.html | guides-smartphones/5g-phones-2025.html | laptops.html | gaids/Podklyucheniye LED paneli k elektroseti skhema i bezopasnost.html | guides-smartphones/holographic-display-phones.html | guides-smartphones/ai-chips-future.html | gaids/Ustanovka LED-paneli s pomoshch'yu trosov (podvesnoy variant).html | gaids/Kak zakrepit' LED-panel' na stene.html,laptops.html | smartphones.html | guides-smartphones/5g-phones-2025.html | guides-smartphones/modular-camera-phones.html | gaids/Ispol'zovaniye proyektora s noutbukom.html | guides-smartphones/flexible-phones-2025.html | guides-smartphones/holographic-display-phones.html | guides-smartphones/mobile-game-development.html | guides-smartphones/sim-card-not-detected.html | guides-smartphones/phone-drone-remote.html
контакты фотоаппараты,0,guides-cameras/шаблоооон.html | guides-smartphones/restore-deleted-contacts.html | guides-smartphones/charging-port-contacts-repair.html | guides-auto-electronics/sensor-contacts-cleaning.html | index.html | gaids/Pochemu-LED-panel-migaet-pri-vklyuchenii.html | gaids/Podklyucheniye LED paneli k elektroseti skhema i bezopasnost.html | guides-auto-electronics/trunk-organizer-light-off-check.html | gaids/Ustanovka LED-paneli s pomoshch'yu trosov (podvesnoy variant).html | gaids/Kak zakrepit' LED-panel' na stene.html,cameras.html | guides-cameras/Kak zamenit' displey fotoapparata.html | guides-cameras/Kak snimat' zvezdy na fotoapparat.html | guides-cameras/Kak snimat timelaps na fotoapparat.html | guides-cameras/Kak otremontirovat' shtorku zatvora v fotoapparate.html | guides-cameras/Kak zamenit displey fotoapparata.html | guides-cameras/Kak snimat' sport na fotoapparat.html | guides-cameras/Kak izmenit yazyk menyu v fotoapparate.html | guides-cameras/Kak pravilno khranit fotoapparat.html | guides-cameras/Kak podklyuchit fotoapparat k teleskopu.html
контакты техника,1,guides-cameras/шаблоооон.html | guides-smartphones/restore-deleted-contacts.html | index.html | guides-smartphones/charging-port-contacts-repair.html | guides-auto-electronics/sensor-contacts-cleaning.html | gaids/Pochemu-LED-panel-migaet-pri-vklyuchenii.html | gaids/Podklyucheniye LED paneli k elektroseti skhema i bezopasnost.html | guides-auto-electronics/trunk-organizer-light-off-check.html | gaids/Ustanovka LED-paneli s pomoshch'yu trosov (podvesnoy variant).html | gaids/Kak zakrepit' LED-panel' na stene.html,small-appliances.html | large-appliances.html | guides-cameras/hdr-processing.html | gaids/Zvuk ostalsya ot izobrazheniya Syaomi Q2.html | auto-electronics.html | guides-auto-electronics/sensor-contacts-cleaning.html | guides-large-appliances/oven-thermal-fuse-replacement.html | guides-large-appliances/fridge-evaporator-flush-without-disassembly.html | guides-large-appliances/induction-stove-sparks-at-turn-on.html | guides-large-appliances/refrigerator-door-seal-alternative-options.html
контакты главная,1,guides-cameras/шаблоооон.html | guides-smartphones/restore-deleted-contacts.html | guides-smartphones/charging-port-contacts-repair.html | guides-auto-electronics/sensor-contacts-cleaning.html | gaids/Pochemu-LED-panel-migaet-pri-vklyuchenii.html | gaids/Podklyucheniye LED paneli k elektroseti skhema i bezopasnost.html | guides-auto-electronics/trunk-organizer-light-off-check.html | gaids/Ustanovka LED-paneli s pomoshch'yu trosov (podvesnoy variant).html | gaids/Kak zakrepit' LED-panel' na stene.html | guides-auto-electronics/roof-sensor-error-fix.html,guides-auto-electronics/eco-monitoring-settings.html | guides-consoles/budushchee-vr-kibersporta.html | guides-auto-electronics/sensor-contacts-cleaning.html | guides-auto-electronics/trunk-monitoring-modes.html | guides-large-appliances/electronic-board-alternative-compatibility-guide.html | gaids/Ne rabotayet golosovoye upravleniye.html | gaids/Zvuk ostalsya ot izobrazheniya Syaomi Q2.html | guides-smartphones/faceid-not-working.html | guides-large-appliances/washing-machine-frost-protection-tips.html | guides-auto-electronics/headlight-monitoring-modes.html
контакты ноутбуки,1,guides-cameras/шаблоооон.html | guides-smartphones/restore-deleted-contacts.html | index.html | guides-smartphones/charging-port-contacts-repair.html | guides-auto-electronics/sensor-contacts-cleaning.html | laptops.html | gaids/Pochemu-LED-panel-migaet-pri-vklyuchenii.html | gaids/Podklyucheniye LED paneli k elektroseti skhema i bezopasnost.html | guides-auto-electronics/trunk-organizer-light-off-check.html | gaids/Ustanovka LED-paneli s pomoshch'yu trosov (podvesnoy variant).html,laptops.html | gaids/Ispol'zovaniye proyektora s noutbukom.html | guides-large-appliances/temporary-dishwasher-drain-setup.html | guides-cameras/Kak zarabatyvat na fotografii.html | auto-electronics.html | guides-large-appliances/bosch-dryer-humidity-sensor-cleaning.html | guides-large-appliances/ceiling-range-hood-motor-replacement.html | guides-large-appliances/dishwasher-water-consumption-reduction-tips.html | guides-large-appliances/microwave-burnt-smell-removal.html | smartphones.html
контакты используйте,1,"guides-smartphones/restore-deleted-contacts.html | guides-auto-electronics/sensor-contacts-cleaning.html | gaids/Dym ot sigarety ili kukhni osedayet na ekrane i vnutri televizora.html | gaids/Osedaniye bol'shogo kolichestva pyli na platakh.html | guides-smartphones/charging-port-contacts-repair.html | gaids/Na ekrane popali bryzgi ot napitkov (chay, kofe, gazirovka).html | gaids/Nastroyka proyektora dlya domashnego kinoteatra.html | guides-cameras/шаблоооон.html | gaids/Ne rabotayet AirPlay ili Miracast.html | gaids/Povredili nozhku ili krepleniye na stene.html","gaids/Kak khranit' proyektor, yesli ne ispol'zuyetsya.html | gaids/Optimal'nyye usloviya ekspluatatsii proyektora.html | guides-consoles/kakie-monitory-ispolzuyut-kibersportsmeny.html | guides-large-appliances/ceiling-range-hood-motor-replacement.html | guides-large-appliances/kitchen-hood-filter-replacement.html | guides-large-appliances/fridge-repair-after-flood.html | guides-auto-electronics/sensor-contacts-cleaning.html | gaids/Kak-ispolzovat-LED-panel-dlya-fotosemki.html | guides-large-appliances/dishwasher-water-consumption-reduction-tips.html | guides-cameras/histogram.html"
фотоаппараты техника,1,guides-cameras/шаблоооон.html | index.html | gaids/Podklyucheniye LED paneli k elektroseti skhema i bezopasnost.html | gaids/Ustanovka LED-paneli s pomoshch'yu trosov (podvesnoy variant).html | gaids/Kak zakrepit' LED-panel' na stene.html | guides-cameras/hdr-processing.html | gaids/Kak-utilizirovat-staryj-televizor.html | gaids/Kak rasshifrovat' markirovku LED-paneli.html | gaids/Kak-ustranit-effekt-mertvyh-pikselej-na-LED-paneli.html | gaids/Pochemu-LED-panel-treschit-pri-rabote.html,guides-cameras/Kakoy fotoapparat luchshe dlya novichka.html | guides-cameras/Pochemu fotoapparat ne snimaet v RAW.html | cameras.html | guides-cameras/Pochemu fotoapparat ne vidit ob'ektiv.html | guides-large-appliances/electronic-board-alternative-compatibility-guide.html | guides-cameras/Pochemu fotoapparat pishet Oshibka ob'ektiva.html | guides-cameras/Kak podklyuchit fotoapparat k teleskopu.html | guides-cameras/hdr-processing.html | guides-cameras/Kak vybrat fotoapparat dlya videobloginga.html | guides-cameras/Pochemu fotoapparat ne vklyuchaetsya posle padeniya.html
фотоаппараты главная,0,guides-cameras/шаблоооон.html | gaids/Podklyucheniye LED paneli k elektroseti skhema i bezopasnost.html | gaids/Ustanovka LED-paneli s pomoshch'yu trosov (podvesnoy variant).html | gaids/Kak zakrepit' LED-panel' na stene.html | index.html | guides-cameras/hdr-processing.html | gaids/Kak-utilizirovat-staryj-televizor.html | gaids/Problemy s energosberegayushchim rezhimom.html | gaids/Kak-ustranit-effekt-mertvyh-pikselej-na-LED-paneli.html | gaids/Pochemu-LED-panel-treschit-pri-rabote.html,guides-cameras/Pochemu fotoapparat bystro razryazhaetsya.html | cameras.html | guides-cameras/Pochemu fotoapparat peregrevayetsya.html | guides-cameras/Chto delat esli fotoapparat zavisayet.html | guides-cameras/Chto delat esli fotoapparat ne vklyuchaetsya.html | guides-cameras/Pochemu fotoapparat ne fokusiruyetsya.html | guides-cameras/Kak nastroit' fotoapparat dlya.html | guides-cameras/Pochemu fotoapparat delayet razmytye foto.html | guides-large-appliances/electronic-board-alternative-compatibility-guide.html | guides-cameras/Kakoy fotoapparat luchshe dlya novichka.html
фотоаппараты ноутбуки,0,guides-cameras/шаблоооон.html | index.html | gaids/Podklyucheniye LED paneli k elektroseti skhema i bezopasnost.html | gaids/Ustanovka LED-paneli s pomoshch'yu trosov (podvesnoy variant).html | gaids/Kak zakrepit' LED-panel' na stene.html | laptops.html | guides-cameras/hdr-processing.html | gaids/Kak-utilizirovat-staryj-televizor.html | gaids/Problemy s energosberegayushchim rezhimom.html | gaids/Kak-ustranit-effekt-mertvyh-pikselej-na-LED-paneli.html,guides-cameras/Pochemu fotoapparat ne fokusiruyetsya.html | cameras.html | guides-cameras/Pochemu fotoapparat ne vidit ob'ektiv.html | guides-cameras/Pochemu fotoapparat medlenno fokusiruyetsya.html | guides-cameras/Pochemu fotoapparat ne zapisyvaet zvuk v video.html | guides-cameras/Chto delat esli fotoapparat ne raspoznaet obektiv.html | guides-cameras/Pochemu fotoapparat ne fokusiruetsya cherez steklo.html | guides-cameras/Chto delat esli fotoapparat ne vidit kartu pamyati.html | guides-cameras/Kakoy fotoapparat luchshe dlya novichka.html | guides-smartphones/hardware-security-keys.html
фотоаппараты используйте,0,"gaids/Dym ot sigarety ili kukhni osedayet na ekrane i vnutri televizora.html | gaids/Osedaniye bol'shogo kolichestva pyli na platakh.html | gaids/Na ekrane popali bryzgi ot napitkov (chay, kofe, gazirovka).html | guides-cameras/шаблоооон.html | gaids/Nastroyka proyektora dlya domashnego kinoteatra.html | guides-cameras/macro-lenses.html | gaids/Povredili nozhku ili krepleniye na stene.html | gaids/Ne rabotayet AirPlay ili Miracast.html | gaids/Oshibki pri vosproizvedenii video s USB.html | gaids/Kak nastroit' proyektor dlya 3D-meppinga.html","cameras.html | guides-cameras/Pochemu fotoapparat vyklyuchaetsya sam po sebe.html | guides-cameras/Chto delat esli fotoapparat ne raspoznaet obektiv.html | guides-cameras/Pochemu fotoapparat ne vidit ob'ektiv.html | gaids/Kak khranit' proyektor, yesli ne ispol'zuyetsya.html | gaids/Optimal'nyye usloviya ekspluatatsii proyektora.html | guides-cameras/Chto delat esli fotoapparat zavisayet.html | guides-cameras/Pochemu fotoapparat ne vklyuchaetsya posle padeniya.html | guides-large-appliances/ceiling-range-hood-motor-replacement.html | guides-cameras/Kak nastroit fotoapparat dlya semki v IR-spektre.html"
фотоаппараты телевизоры,0,guides-cameras/шаблоооон.html | index.html | gaids/Podklyucheniye LED paneli k elektroseti skhema i bezopasnost.html | gaids/Ustanovka LED-paneli s pomoshch'yu trosov (podvesnoy variant).html | gaids/Kak zakrepit' LED-panel' na stene.html | gaids/Kak-utilizirovat-staryj-televizor.html | gaids/Televizor potreblyayet slishkom mnogo energii.html | gaids/Kak-ustranit-effekt-mertvyh-pikselej-na-LED-paneli.html | gaids/Pochemu-LED-panel-treschit-pri-rabote.html | gaids/Kak-ustranit-zasvety-po-krayam-LED-paneli.html,"guides-cameras/Pochemu fotoapparat medlenno fokusiruyetsya.html | guides-cameras/Pochemu fotoapparat peregrevayetsya.html | gaids/Osedaniye bol'shogo kolichestva pyli na platakh.html | gaids/Kondensat v televizore iz-za rezkogo perepada temperatury.html | gaids/Kondensat v televizore iz-za povyshennoy vlazhnosti v pomeshchenii.html | tv.html | guides-cameras/Kakoy fotoapparat luchshe dlya novichka.html | gaids/Popali myachom, igrushkoy ili drugim predmetom.html | guides-cameras/Pochemu fotoapparat peregrevayetsya pri zapisi video.html | guides-cameras/Pochemu fotoapparat ne vidit ob'ektiv.html"
техника главная,0,guides-cameras/шаблоооон.html | index.html | gaids/Podklyucheniye LED paneli k elektroseti skhema i bezopasnost.html | gaids/Ustanovka LED-paneli s pomoshch'yu trosov (podvesnoy variant).html | gaids/Kak zakrepit' LED-panel' na stene.html | guides-cameras/hdr-processing.html | gaids/Kak-utilizirovat-staryj-televizor.html | gaids/Kak rasshifrovat' markirovku LED-paneli.html | gaids/Kak-ustranit-effekt-mertvyh-pikselej-na-LED-paneli.html | gaids/Pochemu-LED-panel-treschit-pri-rabote.html,guides-large-appliances/refrigerator-bubbling-noise.html | gaids/Ne rabotayet knopka vklyucheniya na televizore.html | guides-large-appliances/fridge-repair-after-flood.html | guides-large-appliances/garage-refrigerator-performance-issue.html | guides-auto-electronics/rear-view-camera-connection.html | guides-auto-electronics/tracker-features.html | guides-large-appliances/refrigerant-pressure-check-without-manometer.html | gaids/Zamena i kalibrovka linz.html | guides-large-appliances/washing-machine-pressure-sensor-replacement.html | guides-large-appliances/temporary-dishwasher-drain-setup.html
техника ноутбуки,1,guides-cameras/шаблоооон.html | index.html | laptops.html | gaids/Podklyucheniye LED paneli k elektroseti skhema i bezopasnost.html | gaids/Ustanovka LED-paneli s pomoshch'yu trosov (podvesnoy variant).html | gaids/Kak zakrepit' LED-panel' na stene.html | guides-cameras/hdr-processing.html | gaids/Kak-utilizirovat-staryj-televizor.html | gaids/Kak rasshifrovat' markirovku LED-paneli.html | gaids/Kak-ustranit-effekt-mertvyh-pikselej-na-LED-paneli.html,"laptops.html | gaids/Ispol'zovaniye proyektora s noutbukom.html | gaids/Tsvetnyye pyatna na proyektsii.html | guides-large-appliances/refrigerator-not-cooling-after-defrost.html | guides-large-appliances/refrigerator-loud-hum-issue.html | guides-large-appliances/refrigerator-bubbling-noise.html | gaids/Haier Smart TV S8000Net izobrazheniya, no yest' zvuk.html | gaids/Mertsaniye ekrana pri nizkoy yarkosti.html | guides-cameras/Fototekhnika dlya vulkanologov.html | guides-large-appliances/refrigerator-lights-but-not-cooling.html"
техника используйте,0,"gaids/Dym ot sigarety ili kukhni osedayet na ekrane i vnutri televizora.html | gaids/Osedaniye bol'shogo kolichestva pyli na platakh.html | gaids/Na ekrane popali bryzgi ot napitkov (chay, kofe, gazirovka).html | guides-cameras/шаблоооон.html | gaids/Nastroyka proyektora dlya domashnego kinoteatra.html | gaids/Povredili nozhku ili krepleniye na stene.html | gaids/Ne rabotayet AirPlay ili Miracast.html | gaids/Oshibki pri vosproizvedenii video s USB.html | gaids/Kak nastroit' proyektor dlya 3D-meppinga.html | gaids/Zasoreniye ventilyatsionnykh otverstiy pyl'yu.html","gaids/Kak khranit' proyektor, yesli ne ispol'zuyetsya.html | gaids/Optimal'nyye usloviya ekspluatatsii proyektora.html | guides-large-appliances/fridge-overcooling-issue.html | guides-large-appliances/ceiling-range-hood-motor-replacement.html | guides-large-appliances/fridge-repair-after-flood.html | guides-large-appliances/kitchen-hood-filter-replacement.html | guides-cameras/live-view.html | guides-large-appliances/coffee-machine-filter-replacement.html | guides-consoles/kakie-monitory-ispolzuyut-kibersportsmeny.html | gaids/Ustanovka LED-paneli s pul'tom DU.html"
техника телевизоры,0,guides-cameras/шаблоооон.html | index.html | gaids/Podklyucheniye LED paneli k elektroseti skhema i bezopasnost.html | gaids/Ustanovka LED-paneli s pomoshch'yu trosov (podvesnoy variant).html | gaids/Kak zakrepit' LED-panel' na stene.html | gaids/Kak-utilizirovat-staryj-televizor.html | gaids/Televizor potreblyayet slishkom mnogo energii.html | gaids/Kak-ustranit-effekt-mertvyh-pikselej-na-LED-paneli.html | laptops.html | gaids/Pochemu-LED-panel-treschit-pri-rabote.html,"gaids/Uronili televizor pri perenoske ili ustanovke.html | gaids/Kak vosstanovit' proshivku  televizora(cherez USB).html | gaids/Bityye pikseli na ekrane.html | tv.html | gaids/Otkaz vstroyennogo kulera (yesli yest' aktivnoye okhlazhdeniye).html | gaids/Kondensat v televizore iz-za rezkogo perepada temperatury.html | gaids/Osedaniye bol'shogo kolichestva pyli na platakh.html | gaids/Popali myachom, igrushkoy ili drugim predmetom.html | gaids/Razbili matritsu udarom.html | gaids/Ekran televizora migayet.html"
техника приставки,3,gaids/Nesovmestimost' razresheniya TV pristavki kak vystavit' 720p 1080p.html | gaids/Nesovmestimost' pristavki s chastotoy 5 GGts.html | gaids/Net signala na televizore ot TV-pristavki Android TV Box.html | gaids/Sleteli nastroyki kanalov TV-pristavki.html | guides-cameras/шаблоооон.html | index.html | gaids/Neispravnost' HDMI-kabelya TV-pristavki MAG.html | gaids/Plokhoy kontaktnyy kabel' TV-pristavki Android TV Box.html | gaids/Pristavka zavisayet ili perezagruzhayetsya iz-za peregreva.html | gaids/TV-pristavka ne podklyuchayetsya k Wi-Fi.html,"consoles.html | gaids/Sleteli nastroyki kanalov TV-pristavki.html | gaids/Nesovmestimost' razresheniya TV pristavki kak vystavit' 720p 1080p.html | guides-large-appliances/convection-fan-cleaning-instruction.html | gaids/Remont IK-priyemnika (ne reagiruyet na pul't).html | guides-large-appliances/appliance-sensor-compatibility-check-methods.html | gaids/Mertsaniye ekrana pri nizkoy yarkosti.html | guides-large-appliances/range-hood-light-flicker-issue.html | gaids/Televizor izdayet strannyye zvuki (zhuzhzheniye, uchenyye) Hayer S8000.html | gaids/Net signala na televizore ot TV-pristavki Android TV Box.html"
